Fecha;Hora del llamado;Hora de primera respuesta;Tipo de emergencias;Dirección;1cia;2cia;3cia;4cia;Situación;Hora de término de la emergencia;Tiempo respuesta;Tiempo en controlar emergencia;LATITUDE;LONGITUDE;Detalle unidades
2021-04-01 00:00:00;21:50:00;22:00:00;10.6.1;Los ulmos, block  N. 13 San Antonio, Chile;0;0;1;0;Fuga De GLP al interior de departamento;22:45:00;10;45;-33,6206271;-71,6013465;
2021-04-02 00:00:00;02:37:00;02:45:00;10.2.1;Manuel bulnes, frente a cancha de futbol San Antonio, Chile;0;1;0;0;Quema de pastizal;03:02:00;8;17;-33,5685048;-71,6087257;
2021-04-04 00:00:00;09:10:00;09:14:00;10.2.1;Amapolas, cerro alegre San Antonio, Chile;0;1;0;0;Quema de basura en contenedor;10:12:00;4;58;-33,5788177;-71,6183481;
2021-04-04 00:00:00;20:14:00;20:21:00;10.5;Recinto estacionamiento interior STI San Antonio, Chile;0;0;1;0;Derrame de combustible de vehiculo menor;21:34:00;7;73;-33,588476;-71,6144817;
2021-04-05 00:00:00;20:26:00;20:31:00;10.0;Mall Arauco San Antonio San Antonio, Chile;1;1;1;1;Desprendimiento de humo entre segundo y tercer piso;22:11:00;5;100;-33,5816116;-71,6138306;
2021-04-06 00:00:00;09:14:00;09:19:00;10.4.1;Bruselas con Oscar Bonilla San Antonio, Chile;1;1;0;0;Colision de dos vehiculos menores;09:56:00;5;37;-33,5711792;-71,6065428;
2021-04-08 00:00:00;08:48:00;08:51:00;10.4.1;Muelle Panul San Antonio, Chile;1;1;0;0;Choque de vehiculo menor contra poste alumbrado publico;09:19:00;3;28;-33,5810681;-71,6195958;
2021-04-10 00:00:00;00:12:00;00:15:00;10.0;Baquedano con Avenida Chile San Antonio, Chile;0;0;1;1;Humo en entretecho, chimenea encendida, falsa alarma;00:23:00;3;8;-33,6175965;-71,6080999;
2021-04-10 00:00:00;07:34:00;07:41:00;10.0;Manuel Bulnes, cerro el Carmen San Antonio, Chile;1;1;0;0;Mediagua quemada totalmente;08:03:00;7;22;-33,5685048;-71,6087257;
2021-04-10 00:00:00;10:44:00;10:55:00;10.4.3;Nuevo acceso al puerto San Antonio, Chile;1;0;1;0;Colision de dos vehiculos mayores;11:13:00;11;18;-33,6029816;-71,6038789;
2021-04-10 00:00:00;14:02:00;14:11:00;10.2.1;Nueva bruselas, Bellavista San Antonio, Chile;0;1;0;0;Quema de pastizal, 300 metros cuadrados aprox.;14:51:00;9;40;-33,5634163;-71,6060882;
2021-04-11 00:00:00;00:40:00;00:44:00;10.7;Alonso de Ercilla N. 181 Llolleo San Antonio, Chile;0;0;1;0;Fuego en cable de baja tension;00:50:00;4;6;-33,614333;-71,6177196;
2021-04-12 00:00:00;14:27:00;14:32:00;10.4.2;Aromos con las perdices San Antonio, Chile;1;0;1;0;Colision de dos vehiculos menores;14:44:00;5;12;-33,6162391;-71,5989216;
2021-04-12 00:00:00;20:45:00;20:51:00;10.4.1;San Antonio de las bodegas, altura feria mayorista San Antonio, Chile;1;1;0;0;Colision de vehiculo menor y motocicleta;21:14:00;6;23;-33,5717114;-71,6040106;
